# inj optimal_img1 optimal_img2 optimal_joint matched_img1 matched_img2 matched_joint optimal_joint_p5 optimal_joint_p50 optimal_joint_p95 matched_joint_p5 matched_joint_p50 matched_joint_p95
51 10.938958 11.933782 16.229316 11.127829 12.263055 16.564417 14.563513 16.229316 17.918709 16.250557 16.564417 16.798924
52 10.034070 12.742581 16.248251 10.297209 12.992027 16.568301 14.608213 16.248251 17.881789 16.291742 16.568301 16.759613
53 15.267163 14.155844 20.842878 15.414895 14.327904 21.041729 19.226512 20.842878 22.481038 20.789180 21.041729 21.231264
54 12.714672 12.094111 17.579766 12.953194 12.259404 17.828922 15.908778 17.579766 19.232568 17.546526 17.828922 18.034553
55 14.690307 14.273594 20.507145 14.865564 14.416520 20.699473 18.848942 20.507145 22.146029 20.483562 20.699473 20.864843
56 8.250257 11.175696 13.941303 8.540356 11.426063 14.259272 12.273695 13.941303 15.598909 13.924914 14.259272 14.517432
57 11.111487 12.894848 17.050603 11.307502 13.091900 17.290752 15.402755 17.050603 18.688640 17.035257 17.290752 17.467083
58 14.448813 14.328681 20.369438 14.643311 14.435328 20.557995 18.716549 20.369438 21.949897 20.363515 20.557995 20.671276
59 13.133890 10.980519 17.155639 13.302078 11.207604 17.387244 15.476160 17.155639 18.812747 17.120605 17.387244 17.570668
60 9.822063 11.952668 15.496099 10.192842 12.170096 15.866089 13.851430 15.496099 17.149874 15.601746 15.866089 16.019845
61 20.675593 17.689536 27.228010 20.795827 17.823355 27.386397 25.572232 27.228010 28.874056 27.215605 27.386397 27.538638
62 12.985581 13.543963 18.790937 13.149305 13.732526 19.004619 17.122958 18.790937 20.419605 18.761901 19.004619 19.174668
63 20.710817 10.915637 23.412589 20.835601 11.204492 23.648115 21.766415 23.412589 25.071351 23.406221 23.648115 23.815261
64 9.411647 10.911919 14.434048 9.614776 11.122242 14.700692 12.808515 14.434048 16.123716 14.416825 14.700692 14.879901
65 11.170739 11.689648 16.215566 11.527156 11.866758 16.536596 14.553984 16.215566 17.851617 16.269153 16.536596 16.709683
66 13.677310 28.593376 31.693867 13.943221 28.690908 31.894798 30.157118 31.693867 33.309078 31.761948 31.894798 31.983576
67 13.640056 9.459192 16.618739 13.854876 9.739747 16.930034 14.931635 16.618739 18.279896 16.652436 16.930034 17.136225
68 14.294070 14.301526 20.245616 14.449940 14.487228 20.453572 18.577960 20.245616 21.862915 20.236103 20.453572 20.598389
69 11.522924 13.250844 17.583334 11.730114 13.430400 17.819936 15.943898 17.583334 19.266593 17.574508 17.819936 17.981052
70 10.872835 10.243132 14.966031 11.110183 10.613849 15.356450 13.338327 14.966031 16.662253 15.078520 15.356450 15.506106
71 15.160464 25.196776 29.412540 15.322603 25.297229 29.575074 27.755096 29.412540 31.080632 29.377344 29.575074 29.754534
72 14.990480 12.715970 19.687268 15.275555 12.880313 19.972899 18.045171 19.687268 21.334023 19.747544 19.972899 20.147360
73 10.408418 10.737998 14.990493 10.623419 10.979892 15.268254 13.316132 14.990493 16.631097 14.968384 15.268254 15.478318
74 11.351214 19.961782 22.978266 11.566218 20.080402 23.171139 21.310262 22.978266 24.650751 22.982466 23.171139 23.296524
75 24.124687 30.543232 38.931242 24.256686 30.623054 39.065483 37.315377 38.931242 40.582699 38.939973 39.065483 39.148374
76 12.912078 28.389620 31.208410 13.063302 28.481946 31.332212 29.558516 31.208410 32.810579 31.191215 31.332212 31.439228
77 15.790072 13.367913 20.709649 15.934110 13.526954 20.895944 19.056052 20.709649 22.400935 20.634350 20.895944 21.082042
78 9.073707 10.046971 13.579459 9.370978 10.340193 13.945958 11.894719 13.579459 15.272250 13.578883 13.945958 14.179403
79 13.434814 12.053401 18.066987 13.659124 12.261908 18.346553 16.449039 18.066987 19.731722 18.092286 18.346553 18.488174
80 25.032477 29.459975 38.662583 25.136626 29.515389 38.765868 37.025957 38.662583 40.274419 38.637757 38.765868 38.848625
81 11.116261 16.525790 19.952867 11.297144 16.682743 20.144549 18.317471 19.952867 21.602525 19.918377 20.144549 20.310412
82 11.617312 11.340045 16.266892 11.785654 11.590134 16.527603 14.617952 16.266892 17.936103 16.247656 16.527603 16.741173
83 28.740999 26.452481 39.065673 28.817080 26.520499 39.159678 37.487676 39.065673 40.620264 39.049189 39.159678 39.226164
84 9.538641 8.873377 13.061483 9.736292 9.189418 13.383062 11.392178 13.061483 14.706169 13.059413 13.383062 13.592652
85 21.617620 15.758295 26.772206 21.721067 15.915227 26.925601 25.123749 26.772206 28.397043 26.748827 26.925601 27.048261
86 17.188877 11.554221 20.737807 17.326710 11.726621 20.914765 19.181682 20.737807 22.293618 20.687229 20.914765 21.081705
87 16.781337 18.597243 25.045639 17.116888 18.696082 25.340978 23.432014 25.045639 26.687567 25.144354 25.340978 25.501738
88 11.153601 10.968485 15.675714 11.340208 11.186113 15.919040 14.020999 15.675714 17.315739 15.647685 15.919040 16.079022
89 11.282975 10.585266 15.505569 11.470363 10.904759 15.814454 13.849346 15.505569 17.123719 15.544343 15.814454 15.979147
90 12.759102 13.793946 18.822848 12.938146 13.946874 19.019681 17.203724 18.822848 20.457785 18.807677 19.019681 19.151576
91 28.774213 11.618123 31.049651 28.857314 11.925947 31.220433 29.369241 31.049651 32.704004 31.057615 31.220433 31.332260
92 11.746009 12.130585 16.904662 11.938657 12.317358 17.148818 15.263221 16.904662 18.558318 16.823733 17.148818 17.349298
93 13.144825 10.607359 16.916769 13.327647 10.799642 17.149070 15.258639 16.916769 18.573176 16.901098 17.149070 17.323177
94 16.160254 14.726778 21.896034 16.281393 14.879478 22.054330 20.248496 21.896034 23.530359 21.812877 22.054330 22.220271
95 9.522773 11.587241 15.046763 9.763821 11.849924 15.343244 13.355769 15.046763 16.701653 15.061577 15.343244 15.560703
96 10.886181 9.546432 14.517250 11.286884 9.791960 14.934129 12.854067 14.517250 16.165087 14.641700 14.934129 15.110153
97 16.986887 15.441534 22.984641 17.124610 15.675627 23.204506 21.329090 22.984641 24.625879 23.007616 23.204506 23.359979
98 16.446841 13.170727 21.091091 16.618055 13.357736 21.319098 19.442843 21.091091 22.770524 21.101064 21.319098 21.478221
99 13.299035 12.379787 18.199898 13.543601 12.538800 18.451793 16.532028 18.199898 19.879540 18.179131 18.451793 18.625112
100 27.733343 29.552756 40.543172 27.829255 29.643214 40.657129 38.914461 40.543172 42.186151 40.536346 40.657129 40.739877
101 9.714734 19.590509 21.897289 9.982547 19.685617 22.063648 20.266155 21.897289 23.530317 21.813232 22.063648 22.255851
102 22.061535 21.200029 30.615207 22.192617 21.325937 30.775369 29.007603 30.615207 32.257170 30.629162 30.775369 30.865816
103 12.795996 16.635924 21.020815 12.964404 16.784928 21.199303 19.407635 21.020815 22.643630 20.985646 21.199303 21.350983
104 10.710939 11.376552 15.671987 10.930199 11.669120 15.982881 14.003014 15.671987 17.294267 15.673285 15.982881 16.182518
105 9.772727 9.871415 13.921427 10.132204 10.121011 14.317489 12.276333 13.921427 15.611927 13.998711 14.317489 14.521141
106 11.658730 13.472963 17.859692 11.869044 13.621726 18.059006 16.158370 17.859692 19.543119 17.819542 18.059006 18.212317
107 42.904473 40.421270 58.954012 42.979681 40.477314 59.037389 57.314561 58.954012 60.567156 58.956343 59.037389 59.092835
108 15.798777 12.639469 20.247084 15.969319 12.871795 20.506750 18.604253 20.247084 21.902051 20.264024 20.506750 20.666093
109 11.443313 10.184968 15.356496 11.667087 10.425570 15.640691 13.685806 15.356496 17.027487 15.375467 15.640691 15.826908
111 10.884893 11.552920 15.904912 11.480277 11.767462 16.431618 14.243024 15.904912 17.578137 16.156198 16.431618 16.601322
112 16.167270 23.502499 28.539037 16.317179 23.672783 28.745747 26.891357 28.539037 30.192403 28.571477 28.745747 28.861150
113 49.457209 28.818835 57.240003 49.531319 28.924740 57.355490 55.626397 57.240003 58.890812 57.259729 57.355490 57.423420
114 39.622926 36.339056 53.772343 39.685614 36.422729 53.863516 52.170582 53.772343 55.424249 53.783464 53.863516 53.913409
116 19.064113 21.591825 28.824118 19.193728 21.704650 28.967342 27.178267 28.824118 30.466629 28.809032 28.967342 29.078714
117 42.646127 43.250190 60.750309 42.694181 43.295159 60.802507 59.114536 60.750309 62.380594 60.722993 60.802507 60.856715
119 30.626301 31.291329 43.788114 30.705240 31.367779 43.893491 42.151642 43.788114 45.432298 43.769184 43.893491 43.974522
120 9.942094 12.944577 16.359278 10.183184 13.152521 16.622205 14.691213 16.359278 18.035048 16.360227 16.622205 16.798533
121 12.473422 16.770829 20.916766 12.654164 16.893289 21.101746 19.259057 20.916766 22.582760 20.874527 21.101746 21.257787
122 30.971674 38.656880 49.542439 31.051124 38.712737 49.623736 47.899087 49.542439 51.190585 49.516014 49.623736 49.696501
123 17.341281 12.106239 21.181796 17.461590 12.306646 21.360235 19.507187 21.181796 22.845837 21.153645 21.360235 21.506394
124 14.336891 14.508040 20.433622 14.486282 14.630832 20.585999 18.784414 20.433622 22.047719 20.356979 20.585999 20.745757
125 9.865068 12.005522 15.572948 10.096420 12.207046 15.839416 13.888714 15.572948 17.247929 15.471553 15.839416 16.065257
126 17.981260 17.584342 25.174762 18.115352 17.700732 25.323186 23.501655 25.174762 26.824877 25.093811 25.323186 25.471824
127 44.261847 39.848964 59.558321 44.313446 39.920098 59.640589 57.928319 59.558321 61.216599 59.564302 59.640589 59.695630
128 15.800433 34.272854 37.752828 15.948670 34.336195 37.857042 36.133343 37.752828 39.378272 37.728701 37.857042 37.947098
129 13.546921 12.134377 18.215621 13.801718 12.432682 18.565792 16.575716 18.215621 19.851195 18.319179 18.565792 18.720999
130 11.352688 17.752947 21.093419 11.563512 17.845593 21.254872 19.441250 21.093419 22.699496 21.032858 21.254872 21.398470
131 10.324040 12.831126 16.514781 10.544627 12.995837 16.733398 14.864140 16.514781 18.097313 16.474269 16.733398 16.906586
132 11.903208 16.056356 20.026813 12.141038 16.202810 20.239853 18.343009 20.026813 21.673485 19.976859 20.239853 20.416812
133 11.452463 12.330589 16.856096 11.706547 12.555616 17.164658 15.233542 16.856096 18.490686 16.902935 17.164658 17.330611
134 37.586208 36.589709 52.461941 37.650283 36.648114 52.538757 50.834490 52.461941 54.114207 52.435247 52.538757 52.623797
135 12.631148 13.511568 18.525958 12.907132 13.686294 18.803254 16.875154 18.525958 20.164265 18.533275 18.803254 19.007697
136 30.277530 11.124167 32.264679 30.383692 11.331441 32.427228 30.639329 32.264679 33.911587 32.276070 32.427228 32.531444
139 10.511965 16.243511 19.372752 10.735488 16.399372 19.594140 17.713808 19.372752 21.059262 19.332926 19.594140 19.790345
140 13.758312 12.756724 18.791365 13.947701 12.951892 19.027233 17.184988 18.791365 20.435318 18.778604 19.027233 19.216046
141 13.634245 13.005921 18.863247 13.818636 13.186405 19.095223 17.243417 18.863247 20.527208 18.875837 19.095223 19.235329
143 8.804781 11.928366 14.864511 9.107426 12.154476 15.179110 13.190692 14.864511 16.496550 14.861367 15.179110 15.390116
144 17.441896 19.086038 25.878711 17.545354 19.240132 26.038104 24.270447 25.878711 27.494328 25.866017 26.038104 26.159827
145 13.162350 11.244041 17.349831 13.431615 11.484504 17.662873 15.680211 17.349831 18.991912 17.401650 17.662873 17.827792
146 45.168342 20.865527 49.757764 45.221365 21.012800 49.863062 48.140397 49.757764 51.421614 49.775297 49.863062 49.919280
147 10.116260 10.717489 14.773149 10.394370 10.930997 15.067947 13.078402 14.773149 16.430468 14.767176 15.067947 15.278174
148 89.202957 90.095485 126.789170 89.242511 90.134709 126.840058 125.145590 126.789170 128.438749 126.796612 126.840058 126.874590
149 11.910684 11.612966 16.642953 12.132801 11.848997 16.956219 15.035392 16.642953 18.271244 16.705918 16.956219 17.092247
151 10.303186 24.433850 26.524179 10.549393 24.570164 26.731728 24.910708 26.524179 28.166236 26.528024 26.731728 26.868535
152 18.219142 14.889156 23.550783 18.358932 15.055764 23.742253 21.900068 23.550783 25.203897 23.511924 23.742253 23.894260
153 14.224150 13.961860 19.943431 14.365219 14.137542 20.150192 18.312234 19.943431 21.565692 19.893013 20.150192 20.310759
154 12.267337 10.898578 16.447499 12.440811 11.152183 16.699210 14.824132 16.447499 18.049819 16.438324 16.699210 16.853919
155 14.274997 13.451618 19.629421 14.457991 13.651484 19.878148 17.978203 19.629421 21.304162 19.660738 19.878148 20.016833
156 12.255806 11.494589 16.828154 12.435707 11.703545 17.070274 15.112548 16.828154 18.448418 16.812335 17.070274 17.229351
157 12.832574 12.004459 17.607500 13.252481 12.200418 18.007162 15.948687 17.607500 19.285167 17.700700 18.007162 18.220856
